DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,89
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,252
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,54
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,143
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,142
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,93
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,159
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,92
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,107
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,101
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,102
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,100
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,26
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,50
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,85
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,25
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,86
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,52
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,13
